Fac Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
3,3,"","","",Richard Cockburn MacLaurin Buildings (3),"160,124.08","103,996.2","40,872.88",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,85.50,1810300,1810300,42.35901,-71.0924,"766,332.16672","2,956,114.49102",03,R. C. MACLAURIN,MACLAURIN BUILDINGS (3),07/01/1913,"",12/31/1916,01/08/16 05:13 AM,547
50,50,"","","",Walker Memorial,"73,703.27","46,456.73","20,716.29",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,STAC,UGA3,80.50,1342002,1342002,42.35936,-71.08832,"767,433.66957","2,956,249.32499",50,FRANCIS AMASA WALKER,WALKER MEMORIAL,01/01/1916,"",09/01/1917,01/08/16 05:13 AM,199
7,7,"","","",William Barton Rogers Building,"100,553.38","50,488.32","36,744.91",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3B,103.70,1810700,1810700,42.35929,-71.09319,"766,118.33409","2,956,216.3449",07,WILLIAM BARTON ROGERS,WILLIAM BARTON ROGERS BUILDING,05/01/1937,"",12/31/1938,01/08/16 05:13 AM,325
E1,E1,"","","",Gray House (Formerly President's House),"18,642.53","11,190.61","4,967.95",MIT,EAST,1.00,1,RESIDENT,OWNED,AER,UGR4,52.00,1820100,1820100,42.3596,-71.08696,"767,799.54882","2,956,338.58766",E01,-,GRAY HOUSE,07/01/1913,"",07/01/1917,01/08/16 05:13 AM,139
14S,14S,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (South Wing),"48,622.24","34,500.48","10,286.49",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14S,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY (S),05/21/2015,"","",01/08/16 05:13 AM,119
33,33,"","","",Daniel Guggenheim Aeronautical Laboratory,"55,046.17","36,106.19","13,256.26",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,56.50,1813300,1813300,42.36018,-71.09375,"765,965.67766","2,956,539.64728",33,DANIEL GUGGENHEIM,GUGGENHEIM LABORATORY,04/01/1927,"",07/01/1928,01/08/16 05:13 AM,169
34,34,"","","",EG&G Education Center,"26,966.05","14,686.51","9,130.02",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3,81.30,1813400,1813400,42.36114,-71.09195,"766,449.0276","2,956,891.75916",34,"HAROLD E. EDGERTON, KENNETH H. GERMESHAUSEN, HERBERT E. GRIER",EG&G EDUCATION CENTER,12/31/1982,"",12/31/1983,01/08/16 05:13 AM,62
38,38,"","","",Fairchild Buildings (38),"84,329.46","56,162.59","19,888.56",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,91.40,1813800,1813800,42.36107,-71.09235,"766,341.43468","2,956,867.80466",38,SHERMAN M. FAIRCHILD,FAIRCHILD BUILDING (38),04/12/1971,"",10/01/1973,01/08/16 05:13 AM,328
68,68,"","","",David H. Koch Biology Building,"260,390.37","155,115.84","81,508.71",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,104.80,1816800,1816800,42.36162,-71.08864,"767,343.49146","2,957,072.22739",68,-,KOCH BIOLOGY BUILDING,04/01/1991,"",10/07/1994,01/08/16 05:13 AM,971
E17,E17,"","","",Seely G Mudd Building,"83,518.04","54,118.17","21,512.29",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.80,1821700,1821700,42.36148,-71.08789,"767,547.05603","2,957,023.1827",E17,SEELY G. MUDD,MUDD BUILDING,12/31/1932,"",03/06/1975,01/08/16 05:13 AM,341
E34,E34,"","","",Building E34,"27,424.07","15,923.57","8,443.21",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGB,56.60,1823400,1823400,42.36145,-71.08595,"768,069.70518","2,957,013.06728",E34,-,BUILDING E34,12/31/1924,04/30/1982,03/01/1975,01/08/16 05:13 AM,168
E53,E53,"","","",Grover M Hermann Building,"95,445.1","63,274.76","25,295.16",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3,72.20,1825300,1825300,42.36119,-71.08359,"768,708.09015","2,956,920.87263",E53,GROVER MARTIN HERMANN,HERMANN BUILDING,01/01/1964,"",10/01/1965,01/08/16 05:13 AM,288
E70,E70,"","","",Badger Building,"36,794.62","26,289.14",0,MIT,EAST,2.00,2,SERVICE,LEASED,OTH,UGB,226.70,1827000,1827000,42.36275,-71.08346,"768,740.19956","2,957,489.92339",E70,-,BADGER BUILDING,"","",10/01/1995,01/08/16 05:13 AM,141
NE48,NE48,"","","",700 Technology Square,"12,657.31","10,379.88",797.4,MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,(NULL),84.40,1854800,1854800,42.36403,-71.09273,"766,234.21735","2,957,945.00622",NE48,-,700 TECHNOLOGY SQUARE,"","","",01/08/16 05:13 AM,75
NW20,NW20,"","","",Albany Street Generator Shelter,"5,784.7","5,291.98",0,MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGF1,28.00,1842000,1842000,42.35928,-71.09847,"764,691.4041","2,956,207.36971",NW20,-,ALBANY ST GENERATOR SHELTER,"","","",01/08/16 05:13 AM,10
NW22,NW22,"","","",Plasma Science And Fusion Center (NW22),"48,989.17","39,224.66","5,633.88",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,33.70,1842200,1842200,42.35964,-71.09972,"764,351.12835","2,956,335.31199",NW22,-,PLASMA SCIENCE & FUSION CENTER (NW22),"","",01/17/1992,01/08/16 05:13 AM,157
W11,W11,"","","",Religious Activities Center,"13,590.41","7,922.29","4,152.3",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,16.40,1831100,1831100,42.35826,-71.09354,"766,025.78985","2,955,841.21883",W11,-,RELIGIOUS ACTIVITIES CENTER,12/31/1936,02/01/1966,01/01/1967,01/08/16 05:13 AM,63
OC19N,OC19N,"","","",BATES LINAC: Warehouse #3,"8,141.95","7,683.4",143.22,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19N,-,BATES LINAC: WAREHOUSE #3,"","","",01/08/16 05:13 AM,13
OC26,OC26,"","","",Haystack Atmospheric Sciences Building,"1,396.85","1,220.02",30.67,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.61878,-71.49063,"658,688.02823","3,050,520.56256",OC26,-,HAYSTACK ATMOSPHERIC SCIENCES BUILDING,"","","",01/08/16 05:13 AM,10
OC36,OC36,"","","",Annex 6,"6,910.33","4,364.63","1,851.64",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC36,-,ANNEX 6,"","","",01/08/16 05:13 AM,28
W32,W32,"","","",David Flett du Pont Athletic Center,"46,574.18","26,203.69","15,253.71",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGBA3,36.10,1833200,1833200,42.35937,-71.09513,"765,591.99335","2,956,242.69534",W32,DAVID FLETT DUPONT,DU PONT ATHLETIC CENTER,02/01/1958,"",10/01/1959,01/08/16 05:13 AM,89
W61D,W61D,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing D),"12,498.73","7,647.77","2,760.68",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61D,-,MACGREGOR HOUSE (D),"","","",01/08/16 05:13 AM,91
W51,W51,"","","",Burton-Conner House,"167,922.77","105,084.27","37,556.34",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,72.00,1345900,1345900,42.35597,-71.09812,"764,789.5372","2,955,000.20927",W51,"BURTON, ARTHUR J. CONNER",BURTON-CONNER HOUSE,12/31/1927,12/31/1947,12/31/1948,01/08/16 05:13 AM,683
W53C,W53C,"","","",Building W53C,180,0,151.33,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,UGU,"","","","","","","",W53C,-,BUILDING W53C,10/01/2008,"","",01/08/16 05:13 AM,1
W57,W57,"","","",Building W57,"2,030.11","1,849.2",30.67,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,(NULL),0.00,"","","","","","",W57,-,BUILDING W57,06/18/2012,"","",01/08/16 05:13 AM,3
W61H,W61H,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing H),"13,259.73","9,419.74","1,558.98",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61H,-,MACGREGOR HOUSE (H),"","","",01/08/16 05:13 AM,103
W61M,W61M,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing M),"4,827.23","4,368.53",24.48,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61M,-,MACGREGOR HOUSE (M),"","","",01/08/16 05:13 AM,4
W70B,W70B,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing B),"16,117.42","9,815.14","4,323.58",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70B,-,NEW HOUSE (B),"","","",01/08/16 05:13 AM,91
W92,W92,"","","",Building W92,"86,521.66","71,925.83","7,996.01",MIT,WEST,2.00,2,ACADEMIC,OWNED,AER,UGB,32.10,1839200,1839200,42.35492,-71.10462,"763,036.44851","2,954,609.73854",W92,-,BUILDING W92,"","",07/01/1999,01/08/16 05:13 AM,356
W8,W8,"","","",Harold Whitworth Pierce Boathouse,"21,710.72","16,613.48","3,721.46",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3,24.10,1830800,1830800,42.35531,-71.09683,"765,141.26844","2,954,762.44609",W08,HAROLD WHITWORTH PIERCE,PIERCE BOATHOUSE,06/01/1965,"",12/31/1967,01/08/16 05:13 AM,34
W85D,W85D,W85DE,WESTGATE (DE),Westgate DE,Westgate D Married Student Housing,"4,667.7","3,713.09",454.55,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85D,-,WESTGATE (D),"","","",01/08/16 05:13 AM,10
W85J,W85J,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate J Married Student Housing,"4,630.7","3,701.56",451.91,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85J,-,WESTGATE (J),"","","",01/08/16 05:13 AM,10
64,64,"","","",Alumni Houses: Walcott Bemis Goodale,"73,432.63","48,459.39","17,436.67",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,UGR2,52.30,"","",42.3604,-71.08814,"767,480.06446","2,956,629.36143",64,"ALBERT F. BEMIS, WILLIAM W. WALCOTT, CHARLES WARREN GOODALE",EAST CAMPUS: WALCOTT BEMIS GOODALE,09/01/1923,"",04/01/1924,01/08/16 05:13 AM,0
W85DE,W85DE,"","","",Westgate DE,"9,320.91","7,417.78",904.31,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,31.10,1348000,1348000,42.35537,-71.10395,"763,216.46723","2,954,776.09567",W85DE,-,WESTGATE (DE),01/01/1962,"",08/01/1963,01/08/16 05:13 AM,0
2,2,"","","",Building 2,"121,649.77","74,023.09","35,800.09",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.60,1810200,1810200,42.35881,-71.09018,"766,931.08927","2,956,046.5862",02,-,BUILDING 2,07/01/1913,"",12/31/1916,01/08/16 05:13 AM,355
31,31,"","","",Sloan Laboratories For Aircraft & Automotive Engineering,"62,551.08","46,725.98","10,909.03",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,46.20,1813100,1813100,42.36037,-71.09306,"766,150.16447","2,956,611.68034",31,ALFRED P. SLOAN JR.,SLOAN LABORATORIES,12/31/1928,"",12/31/1928,01/08/16 05:13 AM,224
62W,62W,62,ALUMNI HOUSES: MUNROE HAYDEN WOOD,Alumni Houses: Munroe Hayden Wood,Alumni Houses: Wood,"25,173.77","15,513.88","7,215.29",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",62W,KENNETH F. WOOD,ALUMNI HOUSES: WOOD,"","","",01/08/16 05:13 AM,111
E25,E25,"","","",Whitaker College Of Health Sciences & Technology,"156,676.36","90,313.13","47,636.33",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,92.30,1822500,1822500,42.36167,-71.08695,"767,799.8444","2,957,091.59708",E25,UNCAS A. & HELEN F. WHITAKER,WHITAKER COLLEGE,08/21/1979,"",02/15/1982,01/08/16 05:13 AM,564
E62,E62,"","","",Building E62,"405,033.97","275,824.7","94,063.48",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,"",1823000,1823000,42.36135,-71.08265,"768,961.13218","2,956,980.16168",E62,-,BUILDING E62,"","","",01/08/16 05:13 AM,650
E48,E48,"","","",Building E48,"44,321.76","37,130.01",708.42,MIT,EAST,2.00,2,SERVICE,LEASED,AER,UGB,113.90,"","",42.36207,-71.08473,"768,398.03607","2,957,239.17856",E48,-,BUILDING E48,"",09/15/1961,08/01/1989,01/08/16 05:13 AM,247
N16A,N16A,"","","",Building N16A,"9,766.11",0,"8,652.37",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,57.70,"","",42.36124,-71.09438,"765,792.03738","2,956,926.28972",N16A,-,BUILDING N16A,"","","",01/08/16 05:13 AM,11
NW13,NW13,"","","",Building NW13,"61,937.11","47,134.54","9,708.52",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,28.30,1841300,1841300,42.35988,-71.09736,"764,988.8891","2,956,428.06484",NW13,-,BUILDING NW13,12/21/1917,01/01/1960,12/31/1963,01/08/16 05:13 AM,143
NW14,NW14,"","","",Francis Bitter Magnet Laboratory (NW14),"144,673.42","102,850.31","31,170.35",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,75.70,1841400,1841400,42.35963,-71.0979,"764,844.19426","2,956,335.24659",NW14,DR. FRANCIS BITTER,FRANCIS BITTER MAGNET LAB (NW14),12/31/1913,12/22/1958,09/01/1962,01/08/16 05:13 AM,408
NW17,NW17,"","","",Plasma Science And Fusion Center (NW17),"45,397.46","27,673.54","12,292",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,33.80,1841700,1841700,42.35986,-71.09914,"764,507.70102","2,956,415.40348",NW17,-,PLASMA SCIENCE & FUSION CENTER (NW17),12/31/1923,"","",01/08/16 05:13 AM,151
NW12A,NW12A,"","","",Nuclear Reactor Lab,382.61,311.78,0,MIT,NORTHWEST,0.00,0,ACADEMIC,OWNED,AER,UGB,0.00,"","","","","","",NW12A,-,BUILDING NW12A,03/21/2014,"","",01/08/16 05:13 AM,1
OC1,OC1,"","","",Endicott House,"29,214.19","17,229.44","6,961.62",END,OFFCAMPUS,2.00,2,ACADEMIC,OWNED,OTH,UGR1A3,"","","",42.25395,-71.19365,"739,102.39365","2,917,714.92628",OC01,THE ENDICOTT FAMILY,ENDICOTT HOUSE,"",12/24/1954,07/01/1955,01/08/16 05:13 AM,185
OC19D,OC19D,"","","",BATES LINAC: Warehouse #2,"7,760.09","7,211.92",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59713,-70.97935,"796,355.41193","3,043,057.8885",OC19D,-,BATES LINAC: WAREHOUSE #2,"","","",01/08/16 05:13 AM,3
OC19H,OC19H,"","","",BATES LINAC: Engineering,"23,160.22","19,138.64","1,981.35",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19H,-,BATES LINAC: ENGINEERING,"","","",01/08/16 05:13 AM,57
OC20,OC20,"","","",8 Tyler Street,"18,690.22","18,153.93",0,SOM,OFFCAMPUS,1.00,1,SERVICE,LEASED,AER,(NULL),0.00,"","","","","","",OC20,-,8 TYLER STREET,03/21/2014,"",02/06/2012,01/08/16 05:13 AM,5
OC23,OC23,"","","",Wallace Geophysical Observatory,"2,034.38","1,617.25",0,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"",1878100,1878100,42.61006,-71.48989,"658,888.89276","3,047,344.64548",OC23,GEORGE R. WALLACE JR.,WALLACE GEOPHYSICAL OBSERVATORY,"","",05/20/1970,01/08/16 05:13 AM,6
OC36A,OC36A,"","","",Annex 6 Trailer,960,912.58,0,LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC36A,-,ANNEX 6 TRAILER,"","","",01/08/16 05:13 AM,1
W5,W5,"","","",Ida Flansburgh Green Hall,"19,010.96","9,825.59","5,593.55",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,53.20,1345500,1345500,42.35692,-71.0951,"765,605.05647","2,955,350.09885",W05,IDA FLANSBURGH GREEN,GREEN HALL,12/31/1901,07/01/1963,12/31/1970,01/08/16 05:13 AM,106
W61B,W61B,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing B),"12,634.2","7,792.77","2,746.05",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61B,-,MACGREGOR HOUSE (B),"","","",01/08/16 05:13 AM,91
W53B,W53B,"","","",J B Carr Indoor Tennis Facility (Office),140,121.25,0,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,9.00,"","",42.35697,-71.09695,"765,106.01836","2,955,365.02105",W53B,-,DUPONT TENNIS COURTS (OFFICE),"","","",01/08/16 05:13 AM,2
W59,W59,"","","",Heinz Building,"36,051.39","24,907.62","6,977.47",MIT,WEST,2.00,2,SERVICE,OWNED,AER,UGB,33.50,1835900,1835900,42.35811,-71.09955,"764,400.30265","2,955,776.82131",W59,-,HEINZ BUILDING,12/31/1915,04/30/1968,12/31/1979,01/08/16 05:13 AM,153
W61,W61,"","","",Frank S MacGregor House,"168,261.25","96,220.02","42,410.16",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,167.50,1347000,1347000,42.35546,-71.09955,"764,405.97842","2,954,813.4258",W61,FRANK S. MACGREGOR,MACGREGOR HOUSE,07/01/1968,"",09/01/1970,01/08/16 05:13 AM,134
W61G,W61G,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing G),"12,942.63","9,429.93","1,286.86",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61G,-,MACGREGOR HOUSE (G),"","","",01/08/16 05:13 AM,99
W70F,W70F,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing F),"15,420.13","9,087.92","4,310.49",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70F,-,NEW HOUSE (F),"","","",01/08/16 05:13 AM,93
W85A,W85A,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate A Married Student Housing,"4,686.42","3,725.83",453.68,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85A,-,WESTGATE (A),"","","",01/08/16 05:13 AM,11
W85FG,W85FG,"","","",Westgate FG,"9,320.91","7,417.78",904.31,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,31.10,1348000,1348000,42.35562,-71.1036,"763,310.04989","2,954,867.0569",W85FG,-,WESTGATE (FG),01/01/1962,"",08/01/1963,01/08/16 05:13 AM,0
4,4,"","","",Richard Cockburn MacLaurin Buildings (4),"162,614.16","99,520.02","45,693.93",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,79.70,1810400,1810400,42.35944,-71.09109,"766,685.70812","2,956,275.11901",04,R. C. MACLAURIN,MACLAURIN BUILDINGS (4),07/01/1913,"",12/31/1916,01/08/16 05:13 AM,481
1,1,"","","",Henry L Pierce Engineering Laboratory,"116,239.37","76,126.94","28,750.63",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,81.40,1810100,1810100,42.35809,-71.09236,"766,344.62904","2,955,778.89929",01,HENRY L. PIERCE,PIERCE LABORATORY,12/31/1913,"",12/31/1917,01/08/16 05:13 AM,407
14E,14E,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (East Wing),"21,022.71","15,903.62","3,372.01",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),0.00,"","","","","","",14E,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY (E),05/21/2015,"","",01/08/16 05:13 AM,90
32P,32P,"","","",Ray and Maria Stata Center Garage,"239,353.28","219,268.15","10,269.82",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,GAR,(NULL),"",1813201,1813201,"","","","",32P,RAY STATA '57,STATA CENTER GARAGE,"","",06/02/2003,01/08/16 05:13 AM,32
36,36,"","","",Fairchild Buildings (36),"145,819.4","71,541.2","58,647.1",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,117.40,1813600,1813600,42.36144,-71.09167,"766,525.17993","2,957,001.07625",36,SHERMAN M. FAIRCHILD,FAIRCHILD BUILDING (36),04/12/1971,"",10/01/1973,01/08/16 05:13 AM,587
39,39,"","","",Stanley Gordon Brown Building,"75,808.22","39,252.86","29,975.58",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,91.10,1813900,1813900,42.36086,-71.09273,"766,238.79192","2,956,788.13445",39,GORDON STANLEY BROWN,BROWN BUILDING,08/01/1966,"",12/31/1968,01/08/16 05:13 AM,248
41,41,"","","",Building 41,"26,078.68","20,063.87","4,361.8",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,61.20,1814100,1814100,42.36076,-71.09416,"765,852.662","2,956,751.09658",41,-,BUILDING 41,12/31/1915,"",12/31/1917,01/08/16 05:13 AM,104
46,46,"","","",Brain & Cognitive Sciences Complex,"418,662.59","218,676.63","152,625.73",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),136.40,1814600,1814600,42.36233,-71.09164,"766,530.28538","2,957,325.64557",46,-,BCSC,04/25/2003,"",09/01/2005,01/08/16 05:13 AM,"1,396"
6,6,"","","",George Eastman Research,"88,826.92","53,929.74","22,654.76",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,81.40,1810600,1810600,42.35954,-71.09045,"766,856.28273","2,956,310.85519",06,GEORGE EASTMAN,EASTMAN LABORATORIES,12/31/1931,"",12/31/1933,01/08/16 05:13 AM,312
64G,64G,64,EAST CAMPUS: WALCOTT BEMIS GOODALE,Alumni Houses: Walcott Bemis Goodale,Alumni Houses: Goodale,"24,787.4","17,041.11","5,242",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",64G,CHARLES WARREN GOODALE,EAST CAMPUS: GOODALE,"","","",01/08/16 05:13 AM,108
E18,E18,"","","",Horace Sayford Ford Building (E18),"112,799.19","68,809.22","34,603.82",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBI2,88.30,1821800,1821800,42.36177,-71.08779,"767,571.81186","2,957,126.29198",E18,HORACE SAYFORD FORD JR.,FORD BUILDING (E18),12/31/1920,05/01/1961,10/01/1964,01/08/16 05:13 AM,377
E38,E38,"","","",Suffolk Building,"66,530.75","48,402.5","12,395.52",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGB,82.70,1823800,1823800,42.36215,-71.08588,"768,088.49022","2,957,268.40191",E38,-,SUFFOLK BUILDING,12/31/1920,11/04/1974,09/01/1968,01/08/16 05:13 AM,374
